"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] PlayerNameComparatorJaccard record1Value","[0] PlayerNameComparatorJaccard record2Value","[0] PlayerNameComparatorJaccard record1PreprocessedValue","[0] PlayerNameComparatorJaccard record2PreprocessedValue","[0] PlayerNameComparatorJaccard similarity","[0] PlayerNameComparatorJaccard postproccesedSimilarity","[1] PlayerNameComparatorJaccardTokenizer record1Value","[1] PlayerNameComparatorJaccardTokenizer record2Value","[1] PlayerNameComparatorJaccardTokenizer record1PreprocessedValue","[1] PlayerNameComparatorJaccardTokenizer record2PreprocessedValue","[1] PlayerNameComparatorJaccardTokenizer similarity","[1] PlayerNameComparatorJaccardTokenizer postproccesedSimilarity","[2] PlayerClubComparatorJaccard record1Value","[2] PlayerClubComparatorJaccard record2Value","[2] PlayerClubComparatorJaccard record1PreprocessedValue","[2] PlayerClubComparatorJaccard record2PreprocessedValue","[2] PlayerClubComparatorJaccard similarity","[2] PlayerClubComparatorJaccard postproccesedSimilarity","[3] PlayerNationalityComparatorJaccard record1Value","[3] PlayerNationalityComparatorJaccard record2Value","[3] PlayerNationalityComparatorJaccard record1PreprocessedValue","[3] PlayerNationalityComparatorJaccard record2PreprocessedValue","[3] PlayerNationalityComparatorJaccard similarity","[3] PlayerNationalityComparatorJaccard postproccesedSimilarity","[4] PlayerBirthDateComparatorEqual record1Value","[4] PlayerBirthDateComparatorEqual record2Value","[4] PlayerBirthDateComparatorEqual record1PreprocessedValue","[4] PlayerBirthDateComparatorEqual record2PreprocessedValue","[4] PlayerBirthDateComparatorEqual similarity","[4] PlayerBirthDateComparatorEqual postproccesedSimilarity"
"WekaMatchingRule","real_1685","prediction_10060","0.13780977864927088",,"Andrea Pinamonti","Kevin Lasagna","Andrea Pinamonti","Kevin Lasagna","0.0","0.0","Andrea Pinamonti","Kevin Lasagna","Andrea Pinamonti","Kevin Lasagna","0.0","0.0","Genoa","UdineseCalcio","Genoa","UdineseCalcio","0.0","0.0","Italy","Italy","Italy","Italy","1.0","1.0","1999-05-19","1992-08-10","1999-05-19","1992-08-10","0.0","0.0"
"WekaMatchingRule","real_1017","prediction_673","0.13780977864927088",,"Mats Rits","Simon Mignolet","Mats Rits","Simon Mignolet","0.0","0.0","Mats Rits","Simon Mignolet","Mats Rits","Simon Mignolet","0.0","0.0","Club Brugge","Liverpool","Club Brugge","Liverpool","0.0","0.0","Belgium","Belgium","Belgium","Belgium","1.0","1.0","1993-07-18","1988-03-06","1993-07-18","1988-03-06","0.0","0.0"
"WekaMatchingRule","real_4319","prediction_1182","0.13780977864927088",,"Marios Vrousai","Stefanos Kapino","Marios Vrousai","Stefanos Kapino","0.0","0.0","Marios Vrousai","Stefanos Kapino","Marios Vrousai","Stefanos Kapino","0.0","0.0","Willem II","WerderBremen","Willem II","WerderBremen","0.0","0.0","Greece","Greece","Greece","Greece","1.0","1.0","1998-07-02","1994-03-18","1998-07-02","1994-03-18","0.0","0.0"
"WekaMatchingRule","real_774","prediction_4640","0.01711354581150946",,"Jaromir Zmrhal","Vlastimil Hruby","Jaromir Zmrhal","Vlastimil Hruby","0.0","0.0","Jaromir Zmrhal","Vlastimil Hruby","Jaromir Zmrhal","Vlastimil Hruby","0.0","0.0","Brescia","FKJablonec","Brescia","FKJablonec","0.0","0.0","Czech Republic","CzechRepublic","Czech Republic","CzechRepublic","0.0","0.0","1993-08-02","1985-02-21","1993-08-02","1985-02-21","0.0","0.0"
"WekaMatchingRule","real_1750","prediction_8342","0.13780977864927088",,"Henrique Gomes","Pedro Trigueira","Henrique Gomes","Pedro Trigueira","0.0","0.0","Henrique Gomes","Pedro Trigueira","Henrique Gomes","Pedro Trigueira","0.0","0.0","Gil Vicente","Moreirense","Gil Vicente","Moreirense","0.0","0.0","Portugal","Portugal","Portugal","Portugal","1.0","1.0","1995-11-30","1988-01-04","1995-11-30","1988-01-04","0.0","0.0"
"WekaMatchingRule","real_2175","prediction_9650","0.13780977864927088",,"Jose Luis Morales","Jesús Navas","Jose Luis Morales","Jesús Navas","0.0","0.0","Jose Luis Morales","Jesús Navas","Jose Luis Morales","Jesús Navas","0.0","0.0","Levante","SevillaFC","Levante","SevillaFC","0.0","0.0","Spain","Spain","Spain","Spain","1.0","1.0","1987-07-23","1985-11-21","1987-07-23","1985-11-21","0.0","0.0"
"WekaMatchingRule","real_1885","prediction_9687","0.13780977864927088",,"Javairô Dilrosun","Wesley Hoedt","Javairô Dilrosun","Wesley Hoedt","0.0","0.0","Javairô Dilrosun","Wesley Hoedt","Javairô Dilrosun","Wesley Hoedt","0.0","0.0","Hertha BSC","CeltadeVigo","Hertha BSC","CeltadeVigo","0.0","0.0","Netherlands","Netherlands","Netherlands","Netherlands","1.0","1.0","1998-06-22","1994-03-06","1998-06-22","1994-03-06","0.0","0.0"
"WekaMatchingRule","real_2077","prediction_10187","0.9902176010626135","1","Ciro Immobile","Ciro Immobile","Ciro Immobile","Ciro Immobile","1.0","1.0","Ciro Immobile","Ciro Immobile","Ciro Immobile","Ciro Immobile","1.0","1.0","Lazio","Lazio","Lazio","Lazio","1.0","1.0","Italy","Italy","Italy","Italy","1.0","1.0","1990-02-20","1990-02-20","1990-02-20","1990-02-20","1.0","1.0"
"WekaMatchingRule","real_2025","prediction_6137","0.01711354581150946",,"Danny Vukovic","Dominik Frieser","Danny Vukovic","Dominik Frieser","0.0","0.0","Danny Vukovic","Dominik Frieser","Danny Vukovic","Dominik Frieser","0.0","0.0","KRC Genk","LASK","KRC Genk","LASK","0.0","0.0","Australia","Austria","Australia","Austria","0.0","0.0","1985-03-27","1993-09-09","1985-03-27","1993-09-09","0.0","0.0"
"WekaMatchingRule","real_1899","prediction_1139","0.13780977864927088",,"Palko Dardai","Rani Khedira","Palko Dardai","Rani Khedira","0.0","0.0","Palko Dardai","Rani Khedira","Palko Dardai","Rani Khedira","0.0","0.0","Hertha BSC","FCAugsburg","Hertha BSC","FCAugsburg","0.0","0.0","Germany","Germany","Germany","Germany","1.0","1.0","1999-04-24","1994-01-27","1999-04-24","1994-01-27","0.0","0.0"
